EnglishWord,Definition,Yoruba,Igbo,Hausa
cow,testing,testing,testing ,testing
Apple,"A sweet, red fruit that grows on trees.",àpòrò,àkpụlụ,apple
Backpack,Bag carried on your back,àpò ìgbésè,akpa,jaka
Backpack,A round object used for playing games.,bóòlù,bọl,ƙwallo
Balloon,Inflatable toy filled with air,bọ̀lúùfón,bọlụ ọfukwara,bulo
Bee,Flying insect that makes honey,àwọ̣n,mmụọka,zuzzurfi
Bell,Object that makes a ringing sound,agogo,ọkpọlọkọ,kararrawa
Bicycle,Two-wheeled vehicle powered by pedaling,kèké,igwe mmadu abụọ,keke
Big,Large in size or amount.,ńlá,ukwu,babba
Bird,Feathered animal that can fly,àdùn,nnụnụ,tsuntsu
Blanket,Soft covering used for warmth,àlápàta,akwa,bargo
Blue,The color of the sky on a clear day.,bulúù,ọcha mmiri,shuɗi
Body,The physical part of a human or animal,ara,ahụ,jiki
Bone,"Hard, white structure that supports your body",egúngùn,ọkpụkpụ,ƙashi
Book,A collection of pages with written information or stories.,ìwé,akwụkwọ,littafi
Bridge,Structure built over water or a gap,afara,àkwà mmiri,gada
Brush,Tool used for cleaning or painting,búrúsì,mkpịsị,goge
Bus,Large vehicle that carries many people,bàsì,ụgbọala,mota
Butterfly,"Beautiful, flying insect with colorful wings",àlùpẹ́pẹ́,ọchịchịrị anụ ọhịa,malambu
Button,Fastener on clothing,bọtìnì,bọtịnị,maballin
Camera,Device used to take pictures,ìfàwé,igwe onyonyo,kyamara
Candle,"Stick of wax with a wick, used for light",ìhìn,kandụl,kyandir
Candle,"Stick of wax with a wick, used for light",ìhìn,kandụl,kyandir
Castle,"Large, fortified building from the past",ilé-ògá,ụlọ eze,gida mai gadon
Cat,"A small, furry animal that purrs.",kátì,nwamba,kyanwa
Cave,Large hollow space underground,ihò òkúta,ọgba,rami
Cave,Large hollow space underground,ihò òkúta,ọgba,rami
Chair,A piece of furniture used for sitting.,àga,oche,kujera
Chair,Piece of furniture used for sitting,àga,oche,kujera
Cheese,Food made from milk,wara,ọkụ,cuku
Chicken,Farm animal raised for meat and eggs,adíẹ,ọkụkọ,kaza
Clean,Free from dirt or mess.,mórí,dị ọcha,tsafta
Clock,Device that tells the time,àgó,oge,agogo
Close,Near or shut tight.,títì,chide,rufe
Cloud,Fluffy white mass in the sky,òfurufú,ikuku mmiri,gajimame
Coat,Piece of clothing worn outside in cold weather,aşọ òru,uwe elu oyiyi,riga
Coin,"Small, round piece of metal used for money",owó,ego ntakịnta,kuɗi
Color,"The appearance of something, like red, blue, or green.",àwọ,agba,launi
Comb,Tool used to smooth hair,àwọ̀,nsukọ,tsefe
Computer,A machine that can store and process information.,kọmpútà,kọmputa,kwamfuta
Cookie,"A small, sweet baked treat.",kókì,mkpụrụede,biredi
Cow,A large farm animal that provides milk and meat.,màlúù,ehi,shanu
Crayon,Stick of colored wax used for drawing,ọńlá ìtẹ̀,ngochị,fensir mai launi
Cup,Small container for drinking,ago,iko mmiri,kofi
Dance,To move rhythmically to music,jó,igba egwu,rawa
Dark,Having little or no light.,òkùnkùn,gbara ọchịchịrị,duhu
Dentist,Doctor who treats teeth,oníṣe alágbára,dọkịta ezé,likitan hakori
Dog,A furry animal that is often kept as a pet.,ajá,nkịta,kare
Door,Opening in a wall used for entering and leaving,ilèkùn,ọnụ ụlọ,kofa
Draw,To create a picture with a pencil or marker,fọwọ́,dee ihe osise,yi hoto
Dream,Series of images and stories in your mind during sleep,ìrò,nrọ,mafarki
Ear,Part of the head used for hearing,étí,ntị,kunne
Earring,Jewelry worn on the ears,àṣọ-etí,nkwọ́ ntị,kunne
Eat,To put food in your mouth and swallow it.,jẹ,rie,ci
Egg,"Oval object laid by a chicken, containing food for a developing chick",eyin,àkwụ,ƙwai
Eye,Part of the body used for seeing,ojú,anya,ido
Face,Front part of the head,ojú,ihu,fuska
Family,"A group of people related to each other, like parents and children.",ìdílé,ezinụlọ,iyali
Fast,Moving quickly.,yiyara,ngwa ngwa,sauri
Fence,Barrier built around a yard or other area,ògiri,ògbè,shinge
Finger,One of the five long parts at the end of your hand,ìka,mkpịsị aka,yatsa
Fire,Hot flames that produce heat and light,iná,ọkụ,wuta
Fish,An animal that lives in water and has gills.,ẹja,azụ,kifin
Flag,Piece of cloth representing a country or organization,àṣọ ìjà,ọkụala mba,tuta
Flag,Piece of cloth representing a country or organization,àṣọ ìjà,ọkụala mba,tuta
Flower,The colorful part of a plant.,ìdàrà,okooko,fulawa
Flower,The colorful part of a plant,ìdàrà,okooko,fulawa
Fly,"Small, winged insect that can be annoying",akẹ̀,ụmụ ahụ,sauro
Fork,Utensil with three prongs used for eating,ìgbìn,nkpa,cokali
Fork,Utensil with three prongs used for eating,ìgbìn,nkpa,cokali
Friend,Someone you like and trust.,òré,enyi,aboki
Frog,"Small, green amphibian that jumps",amú,òké,kurtu
Fruit,Part of a plant that contains seeds,eso,mkpụrụ,ya'yan itace
Funny,Causing laughter or amusement.,rírí,ọchịchị,ban dariya
Game,An activity played for fun.,eré,egwuregwu,wasa
Garden,Place where plants are grown,àgàn,ubi ọkụkụ,lambu
Girl,A young female person.,ọmọbìnrin,nwaanyị,yarinya
Glove,Covering worn on,,,
Goat,"Small, furry animal with horns",ewúré,àhụ,akuya
Good,Of high quality or pleasant.,dára,mma,kyau
Grass,Green plants that grow close together on the ground.,ewúru,ahịhịa,ciyawa
Hand,Part of the body at the end of your arm,ọwọ́,aka,hannu
